body,brand,cit,color,gear,price,usage,year
توافقی,جک S5 اتوماتیک,تهران، تهرانپارس شرقی,اتوماتیک,۰,,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 اتوماتیک,تهران، ولنجک,مشکی,اتوماتیک,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,تهران، ونک,مشکی,اتوماتیک,۲۹۳٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، دی لایت ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی ، ترمز دستی برقی,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,تهران، چیتگر,نقدی,اتوماتیک,توافقی,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، اتو هلد ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,تهران، تهرانپارس شرقی,سفید,اتوماتیک,۵۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,اهواز، باهنر,سفید,دنده‌ای,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، رادار ، صندلی برقی ، حافظه صندلی ، ترمز دستی برقی ، دوربین 360 درجه,۴۸٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,اهواز، کیانپارس,سفید صدفی,اتوماتیک,۲۶۵٫۰۰۰٫۰۰۰ تومان,ترمز دستی برقی,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 دنده‌ای,اهواز، کیانشهر,مشکی,دنده‌ای,۱۹۰٫۰۰۰٫۰۰۰ تومان,دنده پشت فرمان ، سانروف ، رادار ، دی لایت ، آینه تاشو برقی,۲۰۱۵ - ۱۳۹۴
بدون رنگ,جک S5 اتوماتیک,اهواز، آریاشهر,سفید,اتوماتیک,۲۶۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سانروف ، کولر دوال ، کروز کنترل ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۷ - ۱۳۹۶
دنده‌ای,جک S5 دنده‌ای,اهواز، فرهنگ شهر,سفید,۲۲۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سانروف ، دی لایت ، آینه تاشو برقی,۹۸٫۰۰۰,۲۰۱۵ - ۱۳۹۴
بدون رنگ,جک S5 اتوماتیک,اهواز، زیباشهر,سفید,اتوماتیک,۲۸۵٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۸ - ۱۳۹۷
نقدی,فروشی,اهواز، کوت عبدالله,سفید,بدون رنگ,اتوماتیک,۲۷۵٫۰۰۰٫۰۰۰ تومان,جک S5 اتوماتیک
بدون رنگ,جک S5 اتوماتیک,اهواز، باهنر,سفید,اتوماتیک,۲۹۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، دنده پشت فرمان ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، اتو هلد ، رادار ، دی لایت ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 دنده‌ای,اهواز، پادادشهر,سفید,دنده‌ای,۲۰۵٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، دنده پشت فرمان ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، اتو هلد ، رادار ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، دوربین 360 درجه,۲۰۱۵ - ۱۳۹۴
بدون رنگ,جک S5 اتوماتیک,اهواز، زیتون کارمندی,سفید,اتوماتیک,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 دنده‌ای,مشهد، امامت,سفید صدفی,دنده‌ای,۲۵۲٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سانروف ، کروز کنترل ، رادار ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، دوربین 360 درجه,۲۰۱۷ - ۱۳۹۶
اتوماتیک,جک S5 اتوماتیک,مشهد، امام خمینی,بدون رنگ,۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,اهواز، شهرک آغاجری,سفید,اتوماتیک,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی ، دوربین 360 درجه,۵٫۰۰۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,مشهد، خیام,نقره‌ای,اتوماتیک,۲۸۶٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، اتو هلد ، رادار ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 دنده‌ای,مشهد، سید رضی,سفید صدفی,دنده‌ای,۲۰۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سانروف ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۵ - ۱۳۹۴
بدون رنگ,جک S5 اتوماتیک,مشهد، کوثر,سفید,اتوماتیک,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,مشهد، امام رضا,نقدی,اتوماتیک,توافقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,مشهد، امام خمینی,نقدی,اتوماتیک,توافقی,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,مشهد، معلم,سفید,اتوماتیک,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، اتو هلد ، رادار ، دی لایت ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، ترمز دستی برقی ، دوربین 360 درجه,۴,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,مشهد، احمدآباد,سفید,اتوماتیک,۲۷۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 دنده‌ای,مشهد، بلوار الهیه,سفید,دنده‌ای,۲۲۲٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، کولر دوال ، اتو هلد ، آینه تاشو برقی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۶ - ۱۳۹۵
دنده‌ای,جک S5 دنده‌ای,مشهد، معلم,بدون رنگ,۲۲۵٫۰۰۰٫۰۰۰ تومان,۷۰٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
