body,brand,cit,color,gear,price,usage,year
بدون رنگ,پژو 206 تیپ ۲,اصفهان، پروین,نقره‌ای,دنده‌ای,۱۷۰٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
بدون رنگ,پژو 206 تیپ ۲,مشهد، نوفل لو,نقره‌ای,دنده‌ای,۴۲٫۰۰۰٫۰۰۰ تومان,۲۲۰٫۰۰۰,۲۰۰۵ - ۱۳۸۴
بدون رنگ,پژو 206 تیپ ۲,اصفهان، پروین,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
,پژو 206 تیپ ۲,اصفهان، زرین‌شهر,۱۴۸٫۰۰۰,,,,۲۰۰۶ - ۱۳۸۵
بدون رنگ,پژو 206 تیپ ۲,اصفهان، مولوی,سفید,دنده‌ای,۸۶٫۲۰۰٫۰۰۰ تومان,۴۲٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,پژو 206 تیپ ۲,اصفهان، شاهین شهر,سفید,دنده‌ای,۵٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
دو لکه رنگ,پژو 206 تیپ ۲,اصفهان، شاهین شهر,نقره‌ای,دنده‌ای,۵۱٫۸۰۰٫۰۰۰ تومان,۱۱۲٫۰۰۰,۲۰۰۸ - ۱۳۸۷
چند لکه رنگ,پژو 206 تیپ ۲,اصفهان، دروازه تهران (میدان جمهوری),نوک‌مدادی,دنده‌ای,۴۸٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰,۲۰۰۷ - ۱۳۸۶
بدون رنگ,پژو 206 تیپ ۲,اصفهان، سه راه سیمین,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
دی لایت,پژو 206 تیپ ۲,مشهد، بلوار الهیه,دنده‌ای,۵۰۰٫۰۰۰,,,۲۰۰۲ - ۱۳۸۱
یک لکه رنگ,پژو 206 تیپ ۲,اصفهان، شاهین شهر,سفید,دنده‌ای,۸۴٫۰۰۰٫۰۰۰ تومان,۵۰٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,پژو 206 تیپ ۲,مشهد، پیروزی,نقره‌ای,دنده‌ای,۳۳٫۵۰۰٫۰۰۰ تومان,۳۰۰,۲۰۰۳ - ۱۳۸۲
چند لکه رنگ,پژو 206 تیپ ۲,مشهد، گلبهار,نوک‌مدادی,دنده‌ای,۳۳٫۷۰۰٫۰۰۰ تومان,۴۶۲٫۰۰۰,۲۰۰۵ - ۱۳۸۴
بدون رنگ,پژو 206 تیپ ۲,مشهد، فرامرز عباسی,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,پژو 206 تیپ ۲,مشهد، دانشجو,نقره‌ای,۲۸٫۰۰۰٫۰۰۰ تومان,۴۹۵٫۰۰۰,,۲۰۰۳ - ۱۳۸۲
دو لکه رنگ,پژو 206 تیپ ۲,مشهد، عبدالمطلب,نقره‌ای,دنده‌ای,۳۵٫۵۰۰٫۰۰۰ تومان,۳۰۰,۲۰۰۴ - ۱۳۸۳
