body,brand,cit,color,gear,price,usage,year
یک لکه رنگ,تیبا صندوق‌دار EX,مشهد، طلاب,سفید,دنده‌ای,۴۷٫۸۰۰٫۰۰۰ تومان,۱۸۵,۲۰۱۱ - ۱۳۹۰
۷۶٫۰۰۰,تیبا صندوق‌دار SX,مشهد، فلسطین,دنده‌ای,,,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,تیبا صندوق‌دار EX,مشهد، امام خمینی,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار EX,مشهد، طرق,مشکی,دنده‌ای,۴۴٫۰۰۰٫۰۰۰ تومان,۱۵۰,۲۰۱۲ - ۱۳۹۱
تک برگی,تیبا صندوق‌دار EX,مشهد، بلوار توس,بدون رنگ,۵۲٫۰۰۰٫۰۰۰ تومان,۸۰,,۲۰۱۵ - ۱۳۹۴
دنده‌ای,تیبا صندوق‌دار SX,مشهد، قاسم آباد (شهرک غرب),سفید,۱۶٫۰۰۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,مشهد، جانباز,آبی,دنده‌ای,۹۳٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,تیبا صندوق‌دار SX,مشهد، امام رضا,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,مشهد، قاسم آباد (شهرک غرب),سفید,دنده‌ای,۱۴٫۵۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار EX,مشهد، رسالت,نوک‌مدادی,دنده‌ای,۱۳٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
چند برگی,تیبا صندوق‌دار SX,مشهد، گلبهار,یک لکه رنگ,۱۸۰٫۰۰۰,,,۲۰۱۱ - ۱۳۹۰
بدون رنگ,تیبا صندوق‌دار EX دوگانه سوز,مشهد، طبرسی,سفید,دنده‌ای,۸۹٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
,تیبا صندوق‌دار EX,مشهد، سید رضی,۰,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,مشهد، سید رضی,سفید,دنده‌ای,۷۰٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,تیبا صندوق‌دار SX,مشهد، پیروزی,سفید,دنده‌ای,۵۲٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار EX,مشهد، گلبهار,خاکستری,دنده‌ای,۵۱٫۰۰۰٫۰۰۰ تومان,۱۳۵٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار SX,مشهد، احمدآباد,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,مشهد، وکیل آباد,سفید,دنده‌ای,هستم,۲۹٫۵۰۰,۲۰۱۸ - ۱۳۹۷
۶٫۴۰۰٫۰۰۰ تومان,تیبا صندوق‌دار EX,مشهد، مطهری شمالی,بدون رنگ,۱۵۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار EX,مشهد، گلبهار,سفید,دنده‌ای,۸۴٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,تیبا صندوق‌دار EX,تهران، اکباتان,نقدی,دنده‌ای,توافقی,سنسور عقب و جلو,۲۰۱۴ - ۱۳۹۳
بدون رنگ,تیبا صندوق‌دار SX,تهران، نارمک,سفید,دنده‌ای,۷٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,تهران، افسریه,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
تک برگی,تیبا صندوق‌دار EX,تهران، باغ آذری,بدون رنگ,۱۷,,,۲۰۱۸ - ۱۳۹۷
۰,تیبا صندوق‌دار SX,تهران، جوادیه,دنده‌ای,,,,۲۰۱۹ - ۱۳۹۸
,تیبا صندوق‌دار SX,تهران، امام حسین(ع),,,,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,تیبا صندوق‌دار SX,تهران، تهرانپارس شرقی,نقدی,توافقی,۰,,۲۰۱۹ - ۱۳۹۸
دو برگی,تیبا صندوق‌دار SX,تهران، قرچک,بدون رنگ,هستم,۴۹٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار SX,تهران، شهرک پارس,سفید,دنده‌ای,۱۴۶٫۰۰۰,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,تیبا صندوق‌دار EX,تهران، دردشت,سفید,دنده‌ای,۵۶٫۰۰۰٫۰۰۰ تومان,۱٫۱۰۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار EX,تهران، اندیشه,نقدی,دنده‌ای,توافقی,آینه تاشو برقی,۲۰۱۷ - ۱۳۹۶
دو لکه رنگ,تیبا صندوق‌دار SX,تهران، کوی مهرآباد,نقره‌ای,دنده‌ای,۱۹۴٫۰۰۰,,۲۰۱۱ - ۱۳۹۰
,تیبا صندوق‌دار SX,تهران، شادآباد,۴۱٫۵۰۰,,,,۲۰۱۴ - ۱۳۹۳
بدون رنگ,تیبا صندوق‌دار LX,اصفهان، بید آباد,خاکستری,دنده‌ای,۲۵۰٫۰۰۰,,۲۰۱۱ - ۱۳۹۰
دو لکه رنگ,تیبا صندوق‌دار EX,اصفهان، دروازه شیراز (میدان آزادی),خاکستری,دنده‌ای,۹۸٫۷۰۰,,۲۰۱۵ - ۱۳۹۴
دنده‌ای,تیبا صندوق‌دار SX,اصفهان، رباط,بدون رنگ,هستم,۶۶٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
نقدی,فروشی,اصفهان، دروازه تهران (میدان جمهوری),سفید,بدون رنگ,دنده‌ای,۵۴٫۰۰۰٫۰۰۰ تومان,تیبا صندوق‌دار EX
بدون رنگ,تیبا صندوق‌دار EX دوگانه سوز,اصفهان، بهارستان,نوک‌مدادی,دنده‌ای,۷۹٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار SX,تهران، تهرانپارس شرقی,نقره‌ای,دنده‌ای,۲۱۵٫۰۰۰,,۲۰۱۱ - ۱۳۹۰
یک لکه رنگ,تیبا صندوق‌دار SX دوگانه‌ سوز,تهران، پاکدشت,سفید,دنده‌ای,۴۵٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار EX,تهران، رباط کریم,سفید,دنده‌ای,۵۵٫۰۰۰٫۰۰۰ تومان,۶۵٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار SX,تهران، ونک,سفید,دنده‌ای,۳۰٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
