body,brand,cit,color,gear,price,usage,year
دنده‌ای,پژو 405 GLX بنزینی,تهران، شهر ری,بدون رنگ,دوربین 360 درجه,۶۷٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
,پژو 405 GLX بنزینی,تهران، فیروزکوه,,,,,۲۰۰۸ - ۱۳۸۷
بدون رنگ,پژو 405 GLX بنزینی,تهران، شهریار,نقره‌ای,دنده‌ای,۲۸۰٫۰۰۰,,۲۰۰۸ - ۱۳۸۷
,پژو 405 GLX بنزینی,تهران، پاکدشت,۳۳۰٫۰۰۰,,,,۲۰۱۱ - ۱۳۹۰
,پژو 405 GLX بنزینی,تهران، پرند,۴۰۰٫۰۰۰,,,,۲۰۰۵ - ۱۳۸۴
یک لکه رنگ,پژو 405 GLX بنزینی,تهران، رباط کریم,ذغالی,دنده‌ای,۲۱٫۰۰۰٫۰۰۰ تومان,۰,۱۹۹۹ - ۱۳۷۸
بدون رنگ,پژو 405 GLX بنزینی,تهران، نازی‌آباد,نقره‌ای,دنده‌ای,۴۲٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال,۲۰۰۶ - ۱۳۸۵
دنده‌ای,پژو 405 GLX بنزینی,تهران، خزانه,بدون رنگ,۴۶٫۰۰۰٫۰۰۰ تومان,۱۹۰,,۲۰۱۰ - ۱۳۸۹
بدون رنگ,پژو 405 GLX بنزینی,تهران، شهر قدس,نقره‌ای,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,پژو 405 GLX بنزینی,مشهد، عبادی,نقره‌ای,دنده‌ای,۳۶٫۵۰۰٫۰۰۰ تومان,۳۰۵٫۰۰۰,۲۰۰۷ - ۱۳۸۶
چند لکه رنگ,پژو 405 GLX بنزینی,تهران، پرند,نقره‌ای,دنده‌ای,۳۴٫۰۰۰٫۰۰۰ تومان,۲۰۰٫۰۰۰,۲۰۰۷ - ۱۳۸۶
دنده‌ای,پژو 405 GLX بنزینی,مشهد، طلاب,دو لکه رنگ,۳۲٫۵۰۰٫۰۰۰ تومان,۳۰۰٫۰۰۰,,۲۰۰۵ - ۱۳۸۴
چند لکه رنگ,پژو 405 GLX بنزینی,مشهد، ۱۷ شهریور,زرد,دنده‌ای,۲۲٫۰۰۰٫۰۰۰ تومان,۶۸۰,۲۰۰۷ - ۱۳۸۶
چند لکه رنگ,پژو 405 GLX بنزینی,مشهد، کوی مهدی,نوک‌مدادی,دنده‌ای,۲۵٫۰۰۰٫۰۰۰ تومان,۲,۲۰۱۲ - ۱۳۹۱
بدون رنگ,پژو 405 GLX بنزینی,مشهد، ابوطالب,مشکی,دنده‌ای,۷٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
