body,brand,cit,color,gear,price,usage,year
بدون رنگ,سمند LX EF7 بنزینی,قم، پردیسان,سفید,دنده‌ای,۱۰۲٫۰۰۰٫۰۰۰ تومان,۲۵۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,سمند LX EF7 بنزینی,قم، پردیسان,بدون رنگ,۹۶٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، صندلی برقی,۵٫۰۰۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,۱۳۰٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
دنده‌ای,سمند LX EF7 گازسوز,کرمانشاه,بدون رنگ,۳۸٫۰۰۰,,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,۶۳٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,۴۲٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
چند لکه رنگ,سمند LX ساده,قم، توحید,خاکستری,دنده‌ای,سنسور عقب و جلو ، صندلی برقی,۳۵۰٫۰۰۰,۲۰۰۷ - ۱۳۸۶
بدون رنگ,سمند LX ساده,کرمانشاه,نقدی,دنده‌ای,توافقی,۴۰٫۰۰۰,۲۰۱۷ - ۱۳۹۶
چند لکه رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,۵۱٫۰۰۰٫۰۰۰ تومان,۱۷۰٫۰۰۰,۲۰۱۰ - ۱۳۸۹
چند لکه رنگ,سمند LX ساده,کرمانشاه,نقرآبی,دنده‌ای,۲۰۰٫۰۰۰,,۲۰۰۳ - ۱۳۸۲
چند لکه رنگ,سمند LX ساده,کرمانشاه,نقره‌ای,دنده‌ای,۴۹٫۵۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی ، آینه تاشو برقی,۲۰۰۹ - ۱۳۸۸
دو لکه رنگ,سمند LX ساده,کرمانشاه,سفید,دنده‌ای,صندلی برقی,۱۴۰٫۰۰۰,۲۰۱۲ - ۱۳۹۱
چند لکه رنگ,سمند LX ساده,کرمانشاه,سفید صدفی,دنده‌ای,سنسور عقب و جلو ، کولر دوال ، صندلی برقی ، آینه تاشو برقی ، ترمز دستی برقی,۱۴۰٫۰۰۰,۲۰۱۱ - ۱۳۹۰
بدون رنگ,سمند LX ساده,کرمانشاه,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,سمند LX ساده,تهران، سازمان آب,نقره‌ای,دنده‌ای,۳۲٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی,۲۰۰۵ - ۱۳۸۴
چند لکه رنگ,سمند LX ساده,تهران، شهر ری,سفید,دنده‌ای,۴۳٫۸۰۰٫۰۰۰ تومان,کولر دوال ، صندلی برقی,۲۰۱۱ - ۱۳۹۰
بدون رنگ,سمند LX ساده,تهران، قلعه فتح‌آباد,سفید,دنده‌ای,۵۰,,۲۰۱۹ - ۱۳۹۸
,سمند LX EF7 گازسوز,تهران، حکیمیه,۳۸٫۰۰۰,,,,۲۰۱۴ - ۱۳۹۳
دو لکه رنگ,سمند LX EF7 بنزینی,تهران، شهرک شریعتی,سفید,دنده‌ای,۷۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی,۲۰۱۵ - ۱۳۹۴
,سمند LX ساده,تهران، شهرک کیانشهر,۲۳۰٫۰۰۰,,,,۲۰۰۸ - ۱۳۸۷
بدون رنگ,سمند LX EF7 گازسوز,تهران، الهیه,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,سمند LX ساده,تهران، شهرک کیانشهر,دو لکه رنگ,۳۶٫۰۰۰٫۰۰۰ تومان,۲۰۵٫۰۰۰,,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,سمند LX ساده,تهران، مسعودیه,نوک‌مدادی,دنده‌ای,۴۰٫۴۰۰٫۰۰۰ تومان,۱۸۹٫۰۰۰,۲۰۰۹ - ۱۳۸۸
بدون رنگ,سمند LX ساده,تهران، نیرو هوایی,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 گازسوز,تهران، پیروزی,خاکستری,دنده‌ای,۱۴۳٫۵۷۰,,۲۰۱۶ - ۱۳۹۵
دو لکه رنگ,سمند LX EF7 گازسوز,تهران، شهرک کیانشهر,سفید,دنده‌ای,۵۷٫۵۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی,۲۰۱۱ - ۱۳۹۰
