body,brand,cit,color,gear,price,usage,year
بدون رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۸۲٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
چند لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۴۴٫۰۰۰٫۰۰۰ تومان,۲۲۰,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,هستم,۳۹۰,۲۰۰۵ - ۱۳۸۴
چند لکه رنگ,پژو پارس ساده,تبریز,خاکستری,دنده‌ای,۴۱٫۵۰۰٫۰۰۰ تومان,کولر دوال ، صندلی برقی ، آینه تاشو برقی,۲۰۰۵ - ۱۳۸۴
چند لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۱۶۲٫۰۰۰,,۲۰۰۷ - ۱۳۸۶
یک لکه رنگ,پژو پارس ساده,تبریز,خاکستری,دنده‌ای,۵۹٫۰۰۰٫۰۰۰ تومان,۱۵۰٫۰۰۰,۲۰۰۹ - ۱۳۸۸
دنده‌ای,پژو پارس ساده,تبریز,بدون رنگ,۰,,,۲۰۱۸ - ۱۳۹۷
دو لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۲۵۰٫۰۰۰,,۲۰۰۸ - ۱۳۸۷
چند لکه رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۶۷٫۰۰۰٫۰۰۰ تومان,۲۶۰٫۰۰۰,۲۰۱۲ - ۱۳۹۱
دو لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۴۵٫۰۰۰٫۰۰۰ تومان,۳۰۰٫۰۰۰,۲۰۰۷ - ۱۳۸۶
بدون رنگ,پژو پارس ساده,تبریز,خاکستری,دنده‌ای,۷۳٫۰۰۰٫۰۰۰ تومان,۸۸٫۰۰۰,۲۰۱۳ - ۱۳۹۲
دنده‌ای,پژو پارس ساده,تبریز,چند لکه رنگ,۳۴٫۰۰۰٫۰۰۰ تومان,۲۹۰٫۲۱۸,,۲۰۰۳ - ۱۳۸۲
یک لکه رنگ,پژو پارس ساده,تبریز,سبز,دنده‌ای,۵۸٫۰۰۰٫۰۰۰ تومان,کروز کنترل ، آینه تاشو برقی,۲۰۰۸ - ۱۳۸۷
,,,,,,,
چند لکه رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۶۳٫۸۰۰٫۰۰۰ تومان,۲۸۰,۲۰۱۰ - ۱۳۸۹
بدون رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۴۲٫۵۰۰٫۰۰۰ تومان,۲۶۳,۲۰۰۴ - ۱۳۸۳
دو لکه رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۵۶٫۰۰۰٫۰۰۰ تومان,۲۸۰٫۰۰۰,۲۰۰۹ - ۱۳۸۸
چند لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۱۶۰٫۰۰۰,,۲۰۰۵ - ۱۳۸۴
دو لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۴۸٫۰۰۰٫۰۰۰ تومان,۱۹۶,۲۰۰۷ - ۱۳۸۶
دو لکه رنگ,پژو پارس ساده,تبریز,بژ,دنده‌ای,۳۵٫۰۰۰٫۰۰۰ تومان,۲۲۰,۲۰۰۳ - ۱۳۸۲
,پژو پارس ساده,تبریز,,,,,۲۰۰۵ - ۱۳۸۴
